Region Name,Plant Name,Year,Month,Installed Capacity (kW),Net Generation (kWh)
Great Plains                                                                                                                    ,Alcova,2006.00,4.00,41400.00,13817600.00
Great Plains                                                                                                                    ,Alcova,2006.00,5.00,41400.00,21487800.00
Great Plains                                                                                                                    ,Alcova,2006.00,6.00,41400.00,20473600.00
Great Plains                                                                                                                    ,Alcova,2006.00,7.00,41400.00,20747600.00
Great Plains                                                                                                                    ,Alcova,2006.00,8.00,41400.00,15460700.00
Great Plains                                                                                                                    ,Alcova,2006.00,9.00,41400.00,2920700.00
Great Plains                                                                                                                    ,Alcova,2006.00,10.00,41400.00,2993000.00
Great Plains                                                                                                                    ,Alcova,2006.00,11.00,41400.00,2873500.00
Great Plains                                                                                                                    ,Alcova,2006.00,12.00,41400.00,2879500.00
Great Plains                                                                                                                    ,Alcova,2007.00,1.00,41400.00,2854600.00
Great Plains                                                                                                                    ,Alcova,2007.00,2.00,41400.00,2505100.00
Great Plains                                                                                                                    ,Alcova,2007.00,3.00,41400.00,3888000.00
Great Plains                                                                                                                    ,Alcova,2007.00,4.00,41400.00,12319000.00
Great Plains                                                                                                                    ,Alcova,2007.00,5.00,41400.00,3932900.00
Great Plains                                                                                                                    ,Alcova,2007.00,6.00,41400.00,12509815.00
Great Plains                                                                                                                    ,Alcova,2007.00,7.00,41400.00,19831853.00
Great Plains                                                                                                                    ,Alcova,2007.00,8.00,41400.00,20151446.00
Great Plains                                                                                                                    ,Alcova,2007.00,9.00,41400.00,4549041.00
Great Plains                                                                                                                    ,Alcova,2007.00,10.00,41400.00,4199895.00
Great Plains                                                                                                                    ,Alcova,2007.00,11.00,41400.00,2770752.00
Great Plains                                                                                                                    ,Alcova,2007.00,12.00,41400.00,2779458.00
Great Plains                                                                                                                    ,Alcova,2008.00,1.00,41400.00,2754237.00
Great Plains                                                                                                                    ,Alcova,2008.00,2.00,41400.00,2596769.00
Great Plains                                                                                                                    ,Alcova,2008.00,3.00,41400.00,3951887.00
Great Plains                                                                                                                    ,Alcova,2008.00,4.00,41400.00,10787379.00
Great Plains                                                                                                                    ,Alcova,2008.00,5.00,41400.00,14779529.00
Great Plains                                                                                                                    ,Alcova,2008.00,6.00,41400.00,5875700.00
Great Plains                                                                                                                    ,Alcova,2008.00,7.00,41400.00,13945744.00
Great Plains                                                                                                                    ,Alcova,2008.00,8.00,41400.00,11491067.00
Great Plains                                                                                                                    ,Alcova,2008.00,9.00,41400.00,4989399.00
Great Plains                                                                                                                    ,Alcova,2008.00,10.00,41400.00,2816228.00
Great Plains                                                                                                                    ,Alcova,2008.00,11.00,41400.00,2620447.00
Great Plains                                                                                                                    ,Alcova,2008.00,12.00,41400.00,2741352.00
Great Plains                                                                                                                    ,Alcova,2009.00,1.00,41400.00,2794646.00
Great Plains                                                                                                                    ,Alcova,2009.00,2.00,41400.00,2544603.00
Great Plains                                                                                                                    ,Alcova,2009.00,3.00,41400.00,3366619.00
Great Plains                                                                                                                    ,Alcova,2009.00,4.00,41400.00,13079778.00
Great Plains                                                                                                                    ,Alcova,2009.00,5.00,41400.00,10754380.00
Great Plains                                                                                                                    ,Alcova,2009.00,6.00,41400.00,13408264.00
Great Plains                                                                                                                    ,Alcova,2009.00,7.00,41400.00,11497768.00
Great Plains                                                                                                                    ,Alcova,2009.00,8.00,41400.00,10825744.00
Great Plains                                                                                                                    ,Alcova,2009.00,9.00,41400.00,5778617.00
Great Plains                                                                                                                    ,Big Thompson,1999.00,9.00,4500.00,799700.00
Great Plains                                                                                                                    ,Big Thompson,1999.00,10.00,4500.00,-10400.00
Great Plains                                                                                                                    ,Big Thompson,1999.00,11.00,4500.00,-13200.00
Great Plains                                                                                                                    ,Big Thompson,1999.00,12.00,4500.00,-16200.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,1.00,4500.00,-16100.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,2.00,4500.00,-16400.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,3.00,4500.00,-11700.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,4.00,4500.00,165100.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,5.00,4500.00,2207600.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,6.00,4500.00,2316900.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,7.00,4500.00,1700200.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,8.00,4500.00,1577800.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,9.00,4500.00,1462200.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,10.00,4500.00,605500.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,11.00,4500.00,-16200.00
Great Plains                                                                                                                    ,Big Thompson,2000.00,12.00,4500.00,-23600.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,1.00,4500.00,-22900.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,2.00,4500.00,-17700.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,3.00,4500.00,-11800.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,4.00,4500.00,-10000.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,5.00,4500.00,1879800.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,6.00,4500.00,2612800.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,7.00,4500.00,940900.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,8.00,4500.00,2881400.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,9.00,4500.00,1547000.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,10.00,4500.00,-10000.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,11.00,4500.00,-21600.00
Great Plains                                                                                                                    ,Big Thompson,2001.00,12.00,4500.00,-6800.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,1.00,4500.00,-15100.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,2.00,4500.00,-12900.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,3.00,4500.00,-13900.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,4.00,4500.00,-8200.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,5.00,4500.00,355300.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,6.00,4500.00,1928400.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,7.00,4500.00,917400.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,8.00,4500.00,429100.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,9.00,4500.00,-4400.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,10.00,4500.00,-20700.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,11.00,4500.00,-7500.00
Great Plains                                                                                                                    ,Big Thompson,2002.00,12.00,4500.00,-14400.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,1.00,4500.00,-14200.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,2.00,4500.00,-13200.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,3.00,4500.00,-12600.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,4.00,4500.00,32200.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,5.00,4500.00,1763900.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,6.00,4500.00,3370000.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,7.00,4500.00,2163100.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,8.00,4500.00,1424800.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,9.00,4500.00,1265400.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,10.00,4500.00,-8000.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,11.00,4500.00,-14000.00
Great Plains                                                                                                                    ,Big Thompson,2003.00,12.00,4500.00,-15100.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,1.00,4500.00,-15400.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,2.00,4500.00,-13600.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,3.00,4500.00,-10300.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,4.00,4500.00,-7100.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,5.00,4500.00,1754600.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,6.00,4500.00,3027000.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,7.00,4500.00,2963600.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,8.00,4500.00,1535100.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,9.00,4500.00,703300.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,10.00,4500.00,603500.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,11.00,4500.00,-9200.00
Great Plains                                                                                                                    ,Big Thompson,2004.00,12.00,4500.00,-11500.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,1.00,4500.00,-17000.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,2.00,4500.00,-13300.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,3.00,4500.00,-12400.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,4.00,4500.00,-7900.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,5.00,4500.00,1966100.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,6.00,4500.00,837600.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,7.00,4500.00,2650500.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,8.00,4500.00,1090500.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,9.00,4500.00,1158000.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,10.00,4500.00,1010800.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,11.00,4500.00,-10400.00
Great Plains                                                                                                                    ,Big Thompson,2005.00,12.00,4500.00,-15100.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,1.00,4500.00,-16300.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,2.00,4500.00,-18000.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,3.00,4500.00,-12700.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,4.00,4500.00,-6000.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,5.00,4500.00,793900.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,6.00,4500.00,2778500.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,7.00,4500.00,2262100.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,8.00,4500.00,1446400.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,9.00,4500.00,1352100.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,10.00,4500.00,-600.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,11.00,4500.00,-10700.00
Great Plains                                                                                                                    ,Big Thompson,2006.00,12.00,4500.00,-13500.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,1.00,4500.00,-19300.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,2.00,4500.00,-15400.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,3.00,4500.00,-6800.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,4.00,4500.00,-7700.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,5.00,4500.00,-4500.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,6.00,4500.00,-4100.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,7.00,4500.00,-2300.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,8.00,4500.00,739100.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,9.00,4500.00,1125600.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,10.00,4500.00,-6200.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,11.00,4500.00,-11300.00
Great Plains                                                                                                                    ,Big Thompson,2007.00,12.00,4500.00,-16400.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,1.00,4500.00,-19900.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,2.00,4500.00,-15100.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,3.00,4500.00,-16700.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,4.00,4500.00,-9800.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,5.00,4500.00,-10300.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,6.00,4500.00,790000.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,7.00,4500.00,2274400.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,8.00,4500.00,926700.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,9.00,4500.00,1473800.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,10.00,4500.00,1422900.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,11.00,4500.00,-15600.00
Great Plains                                                                                                                    ,Big Thompson,2008.00,12.00,4500.00,-21100.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,1.00,4500.00,-16800.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,2.00,4500.00,-13100.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,3.00,4500.00,-9800.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,4.00,4500.00,-10200.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,5.00,4500.00,2058900.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,6.00,4500.00,2885700.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,7.00,4500.00,2281100.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,8.00,4500.00,805400.00
Great Plains                                                                                                                    ,Big Thompson,2009.00,9.00,4500.00,1319600.00
Great Plains                                                                                                                    ,Boysen,1999.00,9.00,15000.00,9120000.00
Great Plains                                                                                                                    ,Boysen,1999.00,10.00,15000.00,5996200.00
Great Plains                                                                                                                    ,Boysen,1999.00,11.00,15000.00,5806300.00
Great Plains                                                                                                                    ,Boysen,1999.00,12.00,15000.00,5724700.00
Great Plains                                                                                                                    ,Boysen,2000.00,1.00,15000.00,5056900.00
Great Plains                                                                                                                    ,Boysen,2000.00,2.00,15000.00,4162900.00
Great Plains                                                                                                                    ,Boysen,2000.00,3.00,15000.00,4163000.00
Great Plains                                                                                                                    ,Boysen,2000.00,4.00,15000.00,4853000.00
Great Plains                                                                                                                    ,Boysen,2000.00,5.00,15000.00,4580600.00
Great Plains                                                                                                                    ,Boysen,2000.00,6.00,15000.00,6164900.00
Great Plains                                                                                                                    ,Boysen,2000.00,7.00,15000.00,6244000.00
Great Plains                                                                                                                    ,Boysen,2000.00,8.00,15000.00,5397900.00
Great Plains                                                                                                                    ,Boysen,2000.00,9.00,15000.00,4079100.00
Great Plains                                                                                                                    ,Boysen,2000.00,10.00,15000.00,3063100.00
Great Plains                                                                                                                    ,Boysen,2000.00,11.00,15000.00,3530000.00
Great Plains                                                                                                                    ,Boysen,2000.00,12.00,15000.00,3482000.00
Great Plains                                                                                                                    ,Boysen,2001.00,1.00,15000.00,3487800.00
Great Plains                                                                                                                    ,Boysen,2001.00,2.00,15000.00,3106400.00
Great Plains                                                                                                                    ,Boysen,2001.00,3.00,15000.00,2854500.00
Great Plains                                                                                                                    ,Boysen,2001.00,4.00,15000.00,3110900.00
Great Plains                                                                                                                    ,Boysen,2001.00,5.00,15000.00,5605400.00
